oa_code,All people,Very good health,Good health,Fair health,Bad health,Very bad health
S00089354,89,53,30,5,1,-
S00089355,165,109,44,8,4,-
S00089356,61,23,27,10,1,-
S00089357,118,57,32,23,4,2
S00089358,85,37,31,12,3,2
S00089359,129,61,47,19,1,1
S00089360,113,43,43,15,8,4
S00089361,151,60,49,30,10,2
S00089362,134,32,51,45,6,-
S00089363,60,34,20,6,-,-
S00089364,96,59,32,5,-,-
S00089365,132,91,34,7,-,-
S00089366,105,63,29,12,1,-
S00089367,102,47,33,16,4,2
S00089368,58,35,17,6,-,-
S00089369,120,82,27,8,3,-
S00089370,107,30,33,32,11,1
S00089371,123,60,39,17,5,2
S00089372,63,32,22,4,4,1
S00089373,97,52,34,7,3,1
S00089374,97,43,21,20,11,2
S00089375,137,64,52,16,3,2
S00089376,135,70,49,14,1,1
S00089377,82,45,27,8,-,2
S00089378,103,62,34,6,-,1
S00089379,169,85,71,12,1,-
S00089380,156,98,51,6,-,1
S00089381,108,65,37,5,1,-
S00089382,126,63,50,10,1,2
S00089383,108,68,27,10,2,1
S00089384,106,73,26,6,-,1
S00089385,189,69,52,54,14,-
S00089386,208,95,79,27,7,-
S00089387,158,75,55,25,2,1
S00089388,159,110,41,7,-,1
S00089389,98,52,34,12,-,-
S00089390,93,54,27,9,2,1
S00089391,101,33,43,22,3,-
S00089392,85,37,22,18,5,3
S00089393,86,43,26,10,6,1
S00089394,68,27,17,14,10,-
S00089395,111,40,56,10,5,-
S00089396,72,10,35,15,7,5
S00089397,101,55,31,10,3,2
S00089398,96,47,35,13,1,-
S00089399,51,4,16,18,9,4
S00089400,98,62,28,6,2,-
S00089401,73,22,29,14,5,3
S00089402,84,35,24,19,3,3
S00089403,98,71,23,4,-,-
S00089404,95,46,36,12,1,-
S00089405,112,85,19,6,2,-
S00089406,145,105,30,9,1,-
S00089407,128,79,35,13,1,-
S00089408,104,71,23,9,-,1
S00089409,117,80,27,8,1,1
S00089410,121,88,28,3,2,-
S00089411,98,74,19,5,-,-
S00089412,190,118,47,21,3,1
S00089413,188,132,46,7,2,1
S00089414,63,23,25,7,7,1
S00089415,97,57,22,8,8,2
S00089416,151,105,38,6,2,-
S00089417,133,80,37,15,-,1
S00089418,149,90,39,16,4,-
S00089419,118,75,29,11,3,-
S00089420,142,95,39,6,1,1
S00089421,171,115,49,4,2,1
S00089422,88,40,31,12,4,1
S00089423,163,115,36,9,2,1
S00089424,144,102,32,9,1,-
S00089425,183,139,37,7,-,-
S00089426,189,160,28,1,-,-
S00089427,79,50,25,3,1,-
S00089428,83,49,24,8,2,-
S00089429,135,95,24,16,-,-
S00089430,126,52,44,21,6,3
S00089431,138,49,45,37,4,3
S00089432,61,25,25,10,1,-
S00089433,74,41,22,7,3,1
S00089434,80,50,24,6,-,-
S00089435,120,75,37,7,1,-
S00089436,117,85,27,5,-,-
S00089437,142,98,38,5,1,-
S00089438,154,101,40,7,4,2
S00089439,112,78,26,7,1,-
S00089440,59,42,13,3,1,-
S00089441,83,35,32,9,6,1
S00089442,106,56,31,17,1,1
S00089443,63,37,20,2,4,-
S00089444,132,104,24,3,1,-
S00089445,145,112,30,2,1,-
S00089446,109,81,22,5,1,-
S00089447,92,65,23,4,-,-
S00089448,104,77,23,3,-,1
S00089449,141,74,49,15,2,1
S00089450,94,47,25,13,7,2
S00089451,91,32,19,25,10,5
S00089452,99,23,34,35,7,-
S00089453,110,51,42,10,6,1
S00089454,76,35,19,11,8,3
S00089455,93,30,33,18,11,1
S00089456,128,64,26,30,7,1
S00089457,85,48,29,6,-,2
S00089458,79,45,27,6,1,-
S00089459,61,45,13,2,1,-
S00089460,84,4,22,39,16,3
S00089461,104,42,33,17,11,1
S00089462,87,43,29,8,5,2
S00089463,132,74,42,12,3,1
S00089464,133,74,45,12,2,-
S00089465,84,53,23,5,3,-
S00089466,98,44,14,22,12,6
S00089467,82,48,25,6,2,1
S00089468,68,35,24,6,3,-
S00089469,114,80,27,5,2,-
S00089470,72,45,23,3,1,-
S00089471,73,39,29,4,1,-
S00089472,83,38,28,13,4,-
S00089473,94,46,37,6,2,3
S00089474,129,57,42,17,12,1
S00089475,70,33,32,5,-,-
S00089476,59,24,23,9,2,1
S00089477,104,56,45,3,-,-
S00089478,100,65,30,3,-,2
S00089479,71,44,22,2,3,-
S00089480,68,37,23,7,1,-
S00089481,123,94,26,3,-,-
S00089482,72,39,25,6,1,1
S00089483,87,57,23,5,2,-
S00089484,109,35,34,23,12,5
S00089485,68,38,26,4,-,-
S00089486,101,26,26,34,13,2
S00089487,80,27,29,15,8,1
S00089488,122,74,29,14,5,-
S00089489,131,101,25,4,-,1
S00089490,250,157,75,12,5,1
S00089491,109,74,29,5,-,1
S00089492,71,24,23,12,9,3
S00089493,74,30,27,9,6,2
S00089494,74,19,13,24,17,1
S00089495,69,21,28,16,2,2
S00089496,68,20,16,16,13,3
S00089497,213,130,68,10,4,1
S00089498,124,63,40,12,8,1
S00089499,71,38,18,11,4,-
S00089500,91,49,29,8,5,-
S00089501,146,68,43,26,6,3
S00089502,135,73,41,14,3,4
S00089503,62,3,14,24,16,5
S00089504,59,4,15,27,9,4
S00089505,64,5,26,21,12,-
S00089506,88,33,35,13,6,1
S00089507,93,35,37,17,4,-
S00089508,107,49,38,12,7,1
S00089509,51,33,12,3,2,1
S00089510,128,60,49,10,7,2
S00089511,88,37,25,18,6,2
S00089512,58,26,21,6,5,-
S00089513,126,57,41,16,11,1
S00089514,103,49,34,14,5,1
S00089515,268,183,65,16,2,2
S00089516,107,55,32,9,9,2
S00089517,73,31,15,16,10,1
S00089518,171,54,62,44,10,1
S00089519,118,46,46,16,9,1
S00089520,91,47,33,7,3,1
S00089521,131,53,57,17,4,-
S00089522,116,62,43,11,-,-
S00089523,101,40,41,15,4,1
S00089524,99,47,24,16,9,3
S00089525,78,30,36,8,4,-
S00089526,109,32,34,30,11,2
S00089527,107,20,31,37,15,4
