oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S00105923,164,58,13,9,-,4,-,-,-,-,75,5
S00105924,112,50,2,4,1,-,-,1,-,-,48,6
S00105925,107,40,13,3,-,-,-,-,-,-,47,4
S00105926,118,50,8,9,-,-,-,-,-,-,46,5
S00105927,105,36,8,5,-,-,-,-,4,-,43,9
S00105928,109,49,6,3,-,-,-,-,-,-,45,6
S00105929,125,72,7,9,-,-,-,-,-,-,33,4
S00105930,101,41,6,8,-,-,-,-,-,-,40,6
S00105931,141,57,9,10,-,-,-,-,-,-,60,5
S00105932,110,40,14,9,1,-,-,-,-,-,44,2
S00105933,120,38,10,7,-,-,-,-,-,1,51,13
S00105934,187,83,9,14,-,-,-,1,1,-,62,17
S00105935,"1,633",149,213,213,41,45,-,145,1,9,719,98
S00105936,135,55,10,13,-,-,-,-,-,-,50,7
S00105937,72,28,4,8,1,-,-,-,-,-,29,2
S00105938,178,104,8,8,-,-,-,3,-,1,38,16
S00105939,173,81,6,13,-,-,-,-,-,-,56,17
S00105940,107,46,6,7,-,-,-,-,-,-,39,9
S00105941,85,24,8,3,-,-,-,-,-,-,45,5
S00105942,92,50,7,6,-,3,-,-,-,-,22,4
S00105943,100,40,11,15,-,-,-,-,-,-,26,8
S00105944,138,64,10,15,-,-,-,-,-,-,35,14
S00105945,106,55,17,2,-,-,-,-,-,-,25,7
S00105946,102,46,5,4,-,-,-,-,-,-,37,10
S00105947,122,70,2,7,-,-,-,1,-,-,40,2
S00105948,102,47,8,12,-,-,-,-,-,-,30,5
S00105949,114,46,8,16,-,-,-,-,-,1,41,2
S00105950,80,24,4,3,1,-,-,6,-,-,35,7
S00105951,70,32,4,4,-,-,-,-,-,-,29,1
S00105952,138,50,9,5,-,-,1,3,-,-,59,11
S00105953,182,63,7,23,-,-,-,5,-,2,73,9
S00105954,130,39,12,13,-,-,-,-,-,-,59,7
S00105955,71,33,16,5,-,-,-,-,-,-,13,4
S00105956,78,22,15,1,-,-,-,1,-,1,30,8
S00105957,174,59,22,9,-,-,-,-,-,1,66,17
S00105958,146,53,9,15,1,-,-,6,1,1,53,7
S00105959,185,103,18,10,-,-,-,-,-,1,51,2
S00105960,107,31,4,11,-,-,-,4,-,1,46,10
S00105961,118,62,11,6,-,-,-,5,-,-,30,4
S00105962,105,41,3,12,-,-,-,-,5,-,43,1
S00105963,169,43,21,12,-,-,-,-,-,-,80,13
S00105964,125,40,21,7,-,2,-,1,-,-,50,4
S00105965,139,62,4,9,-,-,-,-,-,1,55,8
S00105966,99,45,2,3,-,1,-,1,-,1,36,10
S00105967,94,31,4,17,-,-,-,5,-,-,29,8
S00105968,87,26,8,10,-,-,-,3,-,-,36,4
S00105969,107,49,5,14,-,-,-,-,-,-,33,6
S00105970,204,106,16,13,-,-,-,-,-,-,54,15
