oa_code,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
S00089242,51,6,8,5,7,13,4,3,1,-,-,2,1,1,-,-
S00089243,51,6,8,9,8,8,8,1,-,-,3,-,-,-,-,-
S00089244,56,11,7,6,15,10,2,1,1,-,2,-,-,-,-,1
S00089245,45,7,12,7,4,4,3,2,-,-,1,3,-,-,2,-
S00089246,37,4,-,6,9,9,1,-,3,-,1,-,-,3,-,1
S00089247,76,9,13,16,6,10,3,8,-,-,4,1,3,1,1,1
S00089248,91,11,24,3,10,16,7,7,1,-,-,3,2,6,-,1
S00089249,43,-,11,5,5,14,2,4,1,-,-,-,-,-,-,1
S00089250,36,3,11,1,2,9,1,3,1,-,-,2,1,-,-,2
S00089251,42,3,10,3,4,8,1,2,1,1,1,1,1,3,-,3
S00089252,44,1,6,4,7,18,2,3,1,-,1,1,-,-,-,-
S00089253,60,7,12,4,10,7,1,5,2,-,3,5,2,1,-,1
S00089254,56,5,9,7,6,18,2,6,2,-,1,-,-,-,-,-
S00089255,53,3,12,4,6,10,3,8,1,-,-,4,-,1,-,1
S00089256,46,4,9,3,6,10,3,2,3,-,1,4,1,-,-,-
S00089257,43,2,13,4,7,8,2,3,2,-,1,1,-,-,-,-
S00089258,50,2,16,2,5,6,4,6,-,-,1,-,-,3,-,5
S00089259,42,2,16,1,-,5,2,9,1,-,1,3,1,-,-,1
S00089260,55,2,11,4,11,11,3,5,5,-,-,-,1,-,-,2
S00089261,75,4,27,-,5,15,3,5,5,-,-,3,3,-,-,5
S00089262,69,15,28,2,7,2,-,7,-,-,1,1,-,1,-,5
S00089263,66,3,42,-,4,1,-,9,2,-,-,-,-,-,-,5
