oa_code,All occupied household spaces,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,Solid fuel (for example wood coal) central heating,Other central heating,Two or more types of central heating
S00089287,71,0,5,66,0,0,0,0
S00089288,48,0,44,1,0,0,0,3
S00089289,47,0,44,1,0,1,0,1
S00089290,31,0,25,3,1,0,1,1
S00089291,41,0,41,0,0,0,0,0
S00089292,42,0,39,0,0,0,0,3
S00089293,77,0,73,1,0,0,0,3
S00089294,67,0,65,1,0,0,0,1
S00089295,72,0,66,5,0,0,0,1
S00089296,66,0,64,0,1,0,0,1
S00089297,50,0,41,6,2,0,0,1
S00089298,48,0,45,1,0,0,0,2
S00089299,39,0,36,3,0,0,0,0
S00089300,41,0,36,1,0,0,0,4
S00089301,47,0,42,3,0,1,0,1
S00089302,41,0,40,1,0,0,0,0
S00089303,72,2,66,3,0,0,0,1
S00089304,62,1,59,1,0,0,0,1
S00089305,42,0,34,6,0,0,1,1
S00089306,68,0,65,2,0,0,0,1
S00089307,55,2,49,3,0,0,0,1
S00089308,27,0,23,2,0,0,0,2
S00089309,51,0,48,2,0,0,0,1
S00089310,72,1,67,3,0,0,0,1
S00089311,49,0,47,0,0,0,0,2
S00089312,69,1,66,2,0,0,0,0
S00089313,75,4,68,1,0,0,1,1
S00089314,73,5,53,15,0,0,0,0
S00089315,50,1,46,2,0,0,0,1
S00089316,49,0,47,1,0,0,1,0
S00089317,40,1,38,1,0,0,0,0
S00089318,45,1,43,1,0,0,0,0
S00089319,60,0,55,3,2,0,0,0
S00089320,47,0,45,2,0,0,0,0
S00089321,37,0,35,1,1,0,0,0
S00089322,55,0,51,2,0,0,1,1
S00089323,40,0,37,3,0,0,0,0
S00089324,46,0,40,6,0,0,0,0
S00089325,43,0,41,0,1,0,1,0
S00089326,56,0,53,3,0,0,0,0
S00089327,50,0,48,1,0,0,0,1
S00089328,59,1,56,2,0,0,0,0
S00089329,48,0,46,2,0,0,0,0
S00089330,69,0,64,4,0,0,0,1
S00089331,69,1,64,4,0,0,0,0
S00089332,67,0,64,2,1,0,0,0
S00089333,73,0,68,2,1,0,0,2
S00089334,67,1,64,1,0,0,0,1
S00089335,62,0,59,3,0,0,0,0
S00089336,44,0,40,1,0,0,1,2
S00089337,29,0,28,1,0,0,0,0
S00089338,73,0,70,3,0,0,0,0
S00089339,69,0,66,3,0,0,0,0
S00089340,68,0,60,6,0,0,0,2
S00089341,44,2,34,7,0,0,0,1
S00089342,62,0,15,46,1,0,0,0
S00089343,49,5,36,8,0,0,0,0
S00089344,42,1,34,2,0,0,0,5
S00089345,52,0,50,1,0,0,0,1
S00089346,64,1,61,2,0,0,0,0
S00089347,48,0,46,2,0,0,0,0
S00089348,39,1,37,1,0,0,0,0
S00089349,45,2,40,3,0,0,0,0
S00089350,52,0,52,0,0,0,0,0
S00089351,68,0,62,1,0,0,0,5
S00089352,60,1,58,1,0,0,0,0
S00089353,52,0,49,3,0,0,0,0
S00089354,41,0,40,0,1,0,0,0
S00089355,58,0,57,1,0,0,0,0
S00089356,22,1,18,3,0,0,0,0
S00089357,53,3,36,14,0,0,0,0
S00089358,42,0,39,1,0,0,0,2
S00089359,56,2,54,0,0,0,0,0
S00089360,68,0,59,6,0,1,0,2
S00089361,72,0,67,4,0,0,0,1
S00089362,61,2,55,3,0,0,0,1
S00089363,27,0,27,0,0,0,0,0
S00089364,67,3,5,59,0,0,0,0
S00089365,66,3,5,58,0,0,0,0
S00089366,54,4,34,10,0,0,0,6
S00089367,54,2,50,1,0,0,0,1
S00089368,37,0,3,33,0,0,0,1
S00089369,68,5,8,54,0,0,1,0
S00089370,74,2,65,3,0,0,0,4
S00089371,75,4,70,1,0,0,0,0
S00089372,40,0,38,0,0,0,0,2
S00089373,56,1,54,0,0,0,0,1
S00089374,32,0,31,0,0,0,0,1
S00089375,74,0,65,5,1,0,0,3
S00089376,71,1,62,4,2,0,0,2
S00089377,40,1,34,3,1,1,0,0
S00089378,41,0,39,1,0,0,0,1
S00089379,75,4,65,4,1,0,0,1
S00089380,64,0,64,0,0,0,0,0
S00089381,46,1,43,0,1,0,1,0
S00089382,59,0,55,1,0,0,1,2
S00089383,48,0,45,0,3,0,0,0
S00089384,47,0,42,3,1,0,0,1
S00089385,72,0,67,0,2,0,1,2
S00089386,76,0,73,1,1,0,0,1
S00089387,66,0,66,0,0,0,0,0
S00089388,56,0,54,1,1,0,0,0
S00089389,44,1,41,2,0,0,0,0
S00089390,42,0,41,1,0,0,0,0
S00089391,72,2,62,6,1,0,1,0
S00089392,46,6,22,11,0,0,7,0
S00089393,46,7,15,13,0,0,10,1
S00089394,44,1,13,21,0,1,8,0
S00089395,71,1,33,19,0,1,17,0
S00089396,61,0,49,7,0,0,0,5
S00089397,44,1,41,1,0,0,0,1
S00089398,46,0,45,0,1,0,0,0
S00089399,43,2,32,7,0,0,1,1
S00089400,47,0,45,1,0,0,0,1
S00089401,42,0,39,0,1,0,1,1
S00089402,53,1,48,4,0,0,0,0
S00089403,41,0,37,1,1,0,0,2
S00089404,42,0,39,3,0,0,0,0
S00089405,44,0,44,0,0,0,0,0
S00089406,51,0,49,0,1,0,1,0
S00089407,62,2,53,2,2,0,0,3
S00089408,49,0,47,2,0,0,0,0
S00089409,49,0,47,0,0,0,0,2
S00089410,41,0,41,0,0,0,0,0
S00089411,34,0,33,0,0,0,0,1
S00089412,76,0,68,5,2,0,0,1
S00089413,66,0,62,3,1,0,0,0
S00089414,41,2,34,3,0,0,0,2
S00089415,44,2,40,2,0,0,0,0
S00089416,54,0,47,2,3,0,0,2
S00089417,53,0,48,4,1,0,0,0
S00089418,55,0,52,1,1,0,0,1
S00089419,56,2,44,9,1,0,0,0
S00089420,59,1,54,4,0,0,0,0
S00089421,63,0,59,4,0,0,0,0
S00089422,54,1,48,3,1,0,0,1
S00089423,59,1,53,2,2,0,0,1
S00089424,52,0,39,3,9,0,0,1
S00089425,65,0,60,2,3,0,0,0
S00089426,66,0,64,1,1,0,0,0
S00089427,30,0,27,0,2,0,0,1
S00089428,43,0,39,3,0,0,0,1
S00089429,53,0,34,17,2,0,0,0
S00089430,66,2,37,26,1,0,0,0
S00089431,33,1,28,4,0,0,0,0
S00089432,26,1,23,1,1,0,0,0
S00089433,48,0,45,1,0,0,1,1
S00089434,27,0,23,2,2,0,0,0
S00089435,48,1,42,0,2,0,0,3
S00089436,48,0,45,0,3,0,0,0
S00089437,55,0,51,1,1,0,0,2
S00089438,54,0,49,2,2,0,0,1
S00089439,44,0,44,0,0,0,0,0
S00089440,22,0,20,0,2,0,0,0
S00089441,44,3,2,39,0,0,0,0
S00089442,61,2,48,7,0,0,0,4
S00089443,36,0,32,3,0,0,0,1
S00089444,75,0,72,1,0,0,0,2
S00089445,72,1,63,3,0,0,0,5
S00089446,50,0,42,4,0,0,0,4
S00089447,47,2,42,2,0,0,0,1
S00089448,52,0,43,7,0,0,0,2
S00089449,80,0,72,6,0,0,0,2
S00089450,43,2,30,9,0,0,0,2
S00089451,61,2,31,25,0,0,1,2
S00089452,76,2,61,10,0,0,0,3
S00089453,78,8,56,13,0,0,0,1
S00089454,47,1,42,1,1,0,0,2
S00089455,66,2,53,11,0,0,0,0
S00089456,77,2,65,1,0,0,4,5
S00089457,54,8,34,10,0,0,0,2
S00089458,46,6,31,5,0,0,1,3
S00089459,39,2,32,4,0,0,0,1
S00089460,75,2,43,29,0,1,0,0
S00089461,76,9,51,14,0,0,0,2
S00089462,57,4,39,11,0,0,0,3
S00089463,70,1,59,7,0,0,0,3
S00089464,67,4,52,9,0,0,1,1
S00089465,57,6,2,49,0,0,0,0
S00089466,33,2,30,1,0,0,0,0
S00089467,49,0,44,5,0,0,0,0
S00089468,41,3,30,7,1,0,0,0
S00089469,50,2,45,1,0,0,0,2
S00089470,41,0,35,3,0,0,0,3
S00089471,42,3,4,35,0,0,0,0
S00089472,46,0,37,4,0,0,0,5
S00089473,59,2,21,35,1,0,0,0
S00089474,94,4,80,7,0,0,0,3
