oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S00132415,154,42,95,2,7,6,2
S00132416,156,51,90,-,7,7,1
S00132417,81,39,30,-,4,5,3
S00132418,53,31,11,-,1,4,6
S00132419,86,18,55,-,4,3,6
S00132420,66,26,30,-,1,7,2
S00132421,90,35,38,-,3,7,7
S00132422,69,27,32,-,4,3,3
S00132423,112,26,72,-,5,6,3
S00132424,109,24,78,-,-,3,4
S00132425,56,16,36,-,-,1,3
S00132426,99,53,22,-,10,13,1
S00132427,63,35,14,-,3,11,-
S00132428,132,40,74,-,3,8,7
S00132429,43,16,11,-,4,7,5
S00132430,59,15,40,-,-,2,2
S00132431,86,22,43,-,3,10,8
S00132432,82,19,50,-,4,5,4
S00132433,74,15,44,-,2,5,8
S00132434,75,30,33,-,2,4,6
S00132435,74,14,48,-,1,5,6
S00132436,114,29,72,-,4,3,6
S00132437,87,20,52,-,1,10,4
S00132438,80,20,26,-,5,12,17
S00132439,54,9,19,-,6,13,7
S00132440,115,62,13,-,4,32,4
S00132441,71,28,12,-,3,4,24
S00132442,93,29,50,-,4,3,7
S00132443,65,21,30,-,1,3,10
S00132444,53,23,21,-,2,3,4
S00132445,85,19,37,-,5,15,9
S00132446,62,31,24,-,-,5,2
S00132447,133,39,70,-,7,13,4
S00132448,79,18,26,-,7,18,10
S00132449,61,12,24,-,3,18,4
S00132450,71,21,20,-,3,20,7
S00132451,54,10,14,-,3,21,6
S00132452,98,28,53,1,3,4,9
S00132453,55,20,24,-,1,9,1
S00132454,71,23,36,-,1,5,6
S00132455,84,44,20,-,4,12,4
S00132456,69,15,43,-,1,5,5
S00132457,88,22,40,1,8,7,10
S00132458,69,24,34,-,-,4,7
S00132459,85,41,21,-,2,9,12
S00132460,86,40,30,-,6,7,3
S00132461,45,24,4,-,1,11,5
S00132462,52,19,11,-,6,10,6
S00132463,54,16,14,-,4,15,5
S00132464,81,51,13,-,4,8,5
S00132465,40,13,17,-,4,2,4
S00132466,82,31,36,-,1,5,9
S00132467,66,26,27,-,2,6,5
S00132468,43,12,24,-,-,5,2
S00132469,91,46,30,-,3,10,2
S00132470,62,19,34,-,2,4,3
S00132471,99,58,23,-,3,11,4
S00132472,69,22,36,-,1,9,1
S00132473,68,34,13,-,2,14,5
S00132474,61,15,29,-,1,4,12
S00132475,50,9,14,-,1,11,15
S00132476,47,14,27,-,2,2,2
S00132477,110,30,45,-,5,10,20
S00132478,74,29,26,-,5,12,2
S00132479,134,56,52,-,8,9,9
S00132480,47,15,24,-,2,5,1
S00132481,103,36,42,-,1,19,5
S00132482,99,38,46,-,7,4,4
S00132483,64,26,26,-,2,3,7
S00132484,149,45,89,-,3,8,4
S00132485,46,12,22,-,4,7,1
S00132486,90,43,19,-,7,11,10
S00132487,64,25,14,-,4,10,11
S00132488,76,32,18,-,2,10,14
S00132489,51,17,15,-,3,6,10
S00132490,50,18,24,-,4,2,2
S00132491,157,52,31,-,8,25,41
S00132492,161,39,110,-,2,5,5
S00132493,174,53,108,-,2,7,4
S00132494,43,6,33,-,1,3,-
S00132495,57,8,44,-,2,2,1
S00132496,109,25,74,-,1,7,2
S00132497,59,9,43,-,1,1,5
S00132498,95,12,74,2,3,4,-
S00132499,107,31,61,-,4,5,6
S00132500,112,32,68,-,2,3,7
S00132501,118,45,38,-,3,18,14
S00132502,105,23,69,-,2,2,9
S00132503,82,16,48,-,4,7,7
S00132504,135,34,88,-,1,7,5
S00132505,102,26,63,-,1,6,6
S00132506,127,31,84,-,3,5,4
S00132507,98,17,62,-,3,8,8
S00132508,120,35,71,-,3,10,1
S00132509,115,22,76,-,3,11,3
S00132510,81,18,50,-,2,7,4
S00132511,108,27,64,-,7,2,8
S00132512,123,33,80,-,2,5,3
S00132513,56,10,36,-,2,1,7
S00132514,87,21,50,-,2,8,6
S00132515,105,34,36,-,7,14,14
S00132516,107,17,74,-,2,7,7
S00132517,73,14,49,-,2,3,5
S00132518,86,19,53,-,1,5,8
S00132519,89,20,49,-,3,9,8
S00132520,125,29,78,-,2,12,4
S00132521,99,24,60,2,-,5,8
S00132522,89,27,44,-,1,9,8
S00132523,45,14,17,2,6,3,3
S00132524,85,19,42,-,7,13,4
S00132525,90,22,60,-,1,3,4
S00132526,158,41,84,-,5,18,10
S00132527,86,18,54,2,-,3,9
S00132528,151,44,91,-,3,5,8
S00132529,98,16,60,2,3,8,9
S00132530,95,21,66,-,3,1,4
S00132531,60,34,14,-,1,1,10
S00132532,63,9,39,-,4,3,8
S00132533,83,16,51,1,-,6,9
S00132534,65,10,11,-,-,3,41
S00132535,72,7,47,-,1,3,14
S00132536,47,10,31,-,1,1,4
S00132537,106,37,44,-,4,10,11
S00132538,58,6,22,-,2,5,23
S00132539,112,26,31,-,4,7,44
S00132540,79,18,50,-,1,5,5
S00132541,120,27,74,-,2,5,12
S00132542,106,39,45,-,3,9,10
S00132543,65,21,20,-,5,11,8
S00132544,150,69,70,-,2,4,5
S00132545,114,22,73,-,2,7,10
S00132546,96,21,66,-,1,4,4
S00132547,95,26,62,-,1,1,5
S00132548,145,38,92,-,3,5,7
S00132549,103,44,46,-,4,6,3
S00132550,134,46,52,-,9,15,12
S00132551,105,25,35,-,4,14,27
S00132552,89,48,18,-,5,10,8
S00132553,100,28,36,-,3,19,14
S00132554,71,23,32,-,3,6,7
S00132555,131,35,81,-,5,3,7
S00132556,109,32,61,-,5,10,1
S00132557,73,22,40,-,1,5,5
S00132558,114,31,72,-,1,4,6
S00132559,81,16,51,-,3,9,2
S00132560,82,43,16,-,8,14,1
S00132561,71,17,49,-,3,1,1
S00132562,106,25,56,-,9,14,2
S00132563,99,28,64,-,1,5,1
S00132564,121,32,80,-,2,5,2
S00132565,139,23,100,-,5,7,4
S00132566,128,27,90,-,5,6,-
S00132567,92,16,68,-,2,2,4
S00132568,112,49,36,-,2,12,13
S00132569,76,20,24,-,1,20,11
S00132570,104,31,45,-,1,12,15
S00132571,85,19,30,-,2,8,26
S00132572,44,9,32,-,1,1,1
S00132573,140,26,96,-,2,6,10
S00132574,116,33,61,2,7,9,4
S00132575,96,21,45,-,4,18,8
S00132576,101,16,69,-,4,4,8
S00132577,78,22,28,-,5,16,7
S00132578,70,23,31,-,1,9,6
S00132579,116,50,30,-,10,14,12
S00132580,54,15,25,-,2,7,5
S00132581,130,38,63,-,10,7,12
S00132582,95,40,36,-,10,3,6
S00132583,115,35,57,-,4,11,8
S00132584,61,14,32,-,3,2,10
S00132585,66,17,32,-,4,6,7
S00132586,93,21,54,-,4,6,8
S00132587,58,30,14,-,3,7,4
S00132588,75,29,32,-,3,7,4
S00132589,92,19,62,-,3,5,3
S00132590,77,18,53,-,-,3,3
S00132591,92,29,32,-,4,12,15
S00132592,57,5,18,-,3,9,22
S00132593,83,32,33,-,4,6,8
S00132594,51,20,22,-,2,3,4
S00132595,89,28,42,-,1,8,10
S00132596,61,20,28,-,1,7,5
S00132597,86,26,40,-,4,10,6
S00132598,96,31,51,-,1,6,7
S00132599,69,18,22,-,4,8,17
S00132600,79,22,30,-,5,12,10
S00132601,84,31,44,-,3,1,5
S00132602,120,34,78,-,4,3,1
S00132603,102,16,78,-,1,2,5
S00132604,170,39,122,-,4,-,5
S00132605,157,49,99,-,3,6,-
S00132606,62,17,38,-,4,1,2
S00132607,85,17,57,-,4,5,2
S00132608,75,23,44,-,1,7,-
S00132609,114,27,76,-,2,5,4
S00132610,75,13,47,-,2,10,3
S00132611,54,17,32,-,-,4,1
S00132612,65,37,12,-,4,9,3
S00132613,87,32,43,-,-,8,4
S00132614,113,22,73,-,1,5,12
S00132615,123,45,59,-,1,6,12
S00132616,68,27,10,-,8,17,6
S00132617,102,33,46,-,4,8,11
S00132618,104,29,68,-,1,4,2
S00132619,148,32,104,-,4,6,2
S00132620,118,35,70,-,1,7,5
S00132621,145,32,78,2,6,8,19
S00132622,157,45,98,-,6,4,4
S00132623,130,48,58,-,8,10,6
S00132624,61,14,36,-,1,6,4
S00132625,143,26,101,-,6,6,4
S00132626,133,34,92,-,-,5,2
S00132627,78,21,48,-,-,6,3
S00132628,121,36,63,-,2,10,10
S00132629,100,36,43,-,2,9,10
S00132630,96,36,46,-,1,8,5
S00132631,132,38,65,-,7,10,12
S00132632,57,10,20,-,3,7,17
S00132633,57,17,23,-,9,5,3
S00132634,104,30,54,-,5,6,9
S00132635,101,34,53,-,7,3,4
S00132636,124,37,62,-,4,16,5
S00132637,97,50,27,-,2,9,9
S00132638,66,17,34,-,3,5,7
S00132639,60,33,10,-,4,8,5
S00132640,80,23,20,-,10,22,5
S00132641,72,19,27,-,9,13,4
S00132642,66,16,36,-,3,3,8
S00132643,112,29,68,-,1,3,11
S00132644,91,13,68,-,-,3,7
S00132645,78,16,54,-,1,3,4
S00132646,129,33,64,-,2,4,26
S00132647,38,4,26,-,1,3,4
S00132648,52,10,34,-,2,-,6
S00132649,112,61,18,-,6,14,13
S00132650,170,47,100,-,3,14,6
S00132651,59,11,40,-,1,4,3
S00132652,83,35,34,-,1,7,6
S00132653,103,29,47,-,6,13,8
S00132654,46,22,5,-,8,5,6
S00132655,83,26,44,-,-,6,7
S00132656,94,18,18,-,3,5,50
S00132657,42,14,24,-,2,2,-
S00132658,79,33,18,-,6,10,12
S00132659,84,33,26,-,5,13,7
S00132660,107,27,58,-,2,12,8
S00132661,98,43,27,-,8,11,9
S00132662,106,45,40,-,5,12,4
S00132663,58,8,20,-,-,2,28
S00132664,86,36,29,-,3,7,11
S00132665,133,40,81,-,2,8,2
S00132666,142,32,100,-,-,1,9
S00132667,115,25,80,-,1,6,3
S00132668,45,7,36,-,1,-,1
S00132669,139,46,82,-,4,4,3
S00132670,130,38,83,-,4,5,-
S00132671,128,29,84,-,5,7,3
S00132672,87,36,30,-,10,9,2
S00132673,121,33,79,-,1,6,2
S00132674,106,23,68,-,3,10,2
S00132675,71,18,48,-,1,1,3
S00132676,106,31,66,-,3,4,2
S00132677,106,31,64,-,4,3,4
S00132678,188,55,112,-,2,11,8
S00132679,61,7,45,-,-,-,9
S00132680,107,28,67,2,6,4,-
S00132681,62,17,40,-,1,3,1
S00132682,105,27,65,-,2,5,6
S00132683,151,37,100,-,4,6,4
S00132684,93,23,57,-,3,5,5
S00132685,79,25,40,-,2,6,6
S00132686,179,54,103,-,1,8,13
S00132687,92,32,38,-,3,9,10
S00132688,65,15,34,-,2,4,10
S00132689,98,26,50,-,6,4,12
S00132690,51,7,20,-,6,9,9
S00132691,129,33,66,-,1,6,23
S00132692,131,42,76,-,5,6,2
S00132693,129,27,81,2,-,3,16
S00132694,152,39,100,-,7,4,2
S00132695,96,52,27,-,9,6,2
S00132696,126,28,80,-,4,10,4
S00132697,132,35,91,1,2,2,1
S00132698,48,11,32,-,3,2,-
S00132699,192,58,122,-,1,8,3
S00132700,121,38,74,2,3,3,1
S00132701,185,51,124,2,4,2,2
S00132702,111,35,64,-,4,8,-
S00132703,110,34,67,-,-,6,3
S00132704,106,26,67,-,4,7,2
S00132705,114,27,78,-,2,4,3
S00132706,95,53,23,-,8,10,1
S00132707,224,46,96,2,6,12,62
S00132708,130,48,71,-,1,7,3
S00132709,139,42,84,-,1,4,8
S00132710,162,50,63,-,7,16,26
S00132711,66,16,33,-,4,5,8
S00132712,106,36,50,-,5,9,6
S00132713,79,32,32,-,4,7,4
S00132714,80,43,20,-,2,12,3
S00132715,80,24,50,-,1,5,-
S00132716,118,51,49,-,5,11,2
S00132717,114,32,66,-,1,8,7
S00132718,53,26,17,-,1,4,5
S00132719,112,33,64,-,6,5,4
S00132720,121,30,85,-,2,4,-
S00132721,59,17,33,-,1,7,1
S00132722,103,28,66,-,2,5,2
S00132723,134,35,78,-,8,10,3
S00132724,101,18,72,-,4,6,1
S00132725,112,27,77,-,1,7,-
S00132726,96,30,61,-,1,2,2
S00132727,153,42,97,-,3,6,5
S00132728,47,10,26,-,5,4,2
S00132729,50,13,27,-,1,5,4
S00132730,82,26,30,-,8,9,9
S00132731,75,17,30,-,1,12,15
S00132732,96,34,33,-,8,8,13
S00132733,68,28,27,-,4,5,4
S00132734,163,51,81,-,3,13,15
S00132735,64,24,30,-,2,6,2
S00132736,173,94,56,1,3,14,5
S00132737,109,30,55,-,3,4,17
S00132738,80,27,37,-,3,7,6
S00132739,56,9,38,-,-,3,6
S00132740,152,39,82,-,1,6,24
S00132741,51,12,38,-,1,-,-
S00132742,103,28,48,-,3,8,16
S00132743,117,49,49,-,1,11,7
S00132744,84,21,21,-,3,10,29
S00132745,49,16,21,-,1,1,10
S00132746,95,27,46,-,1,7,14
S00132747,109,29,72,-,3,1,4
S00132748,139,36,85,-,2,11,5
S00132749,74,35,34,-,1,2,2
S00132750,60,25,26,-,1,3,5
S00132751,105,29,49,-,1,11,15
S00132752,86,36,33,-,4,8,5
S00132753,99,20,58,-,4,7,10
S00132754,73,25,38,-,-,4,6
S00132755,115,48,50,-,5,10,2
S00132756,82,37,27,-,8,7,3
S00132757,100,40,43,-,4,10,3
S00132758,62,38,16,-,5,3,-
S00132759,74,41,15,1,2,9,6
S00132760,91,45,24,-,3,13,6
S00132761,106,64,20,-,4,6,12
S00132762,52,12,27,-,6,2,5
S00132763,89,34,32,-,2,7,14
S00132764,87,30,39,-,6,9,3
S00132765,91,31,40,-,4,10,6
S00132766,65,29,16,-,9,8,3
S00132767,92,30,41,-,3,9,9
S00132768,87,40,24,2,4,12,5
S00132769,100,27,53,-,6,5,9
S00132770,51,27,12,-,1,9,2
S00132771,72,23,45,-,2,2,-
S00132772,60,33,9,-,4,6,8
S00132773,79,52,10,-,10,4,3
S00132774,49,19,15,-,1,3,11
S00132775,93,25,37,-,6,17,8
S00132776,95,15,70,-,2,-,8
S00132777,138,33,92,-,3,4,6
S00132778,93,25,58,-,1,2,7
S00132779,105,54,24,-,8,11,8
S00132780,110,28,32,-,5,16,29
S00132781,50,10,8,-,1,4,27
S00132782,119,37,64,-,6,4,8
S00132783,44,11,24,-,3,2,4
S00132784,113,51,45,-,3,8,6
S00132785,150,31,84,-,7,9,19
S00132786,113,32,57,-,7,12,5
S00132787,49,13,32,-,-,2,2
S00132788,116,29,72,-,3,6,6
S00132789,82,25,44,-,7,5,1
S00132790,45,8,32,-,2,-,3
S00132791,48,26,12,-,5,4,1
S00132792,115,36,66,-,5,4,4
S00132793,86,22,42,1,5,7,9
S00132794,103,33,56,-,4,8,2
S00132795,59,21,26,-,5,6,1
S00132796,101,16,56,-,2,8,19
S00132797,152,60,60,-,5,5,22
S00132798,155,49,84,-,7,12,3
S00132799,99,39,37,-,8,10,5
S00132800,46,16,24,-,1,4,1
S00132801,105,45,41,-,8,8,3
S00132802,72,37,29,-,3,2,1
S00132803,70,24,39,-,3,2,2
S00132804,72,20,41,-,2,8,1
S00132805,127,35,76,-,-,4,12
S00132806,84,39,20,-,3,13,9
S00132807,46,21,9,-,3,5,8
S00132808,78,26,38,-,7,3,4
S00132809,58,30,18,-,2,7,1
S00132810,49,22,9,-,3,10,5
S00132811,65,38,8,-,2,10,7
S00132812,52,38,6,-,2,2,4
S00132813,99,43,17,-,6,21,12
S00132814,73,13,44,-,4,7,5
S00132815,88,25,26,-,3,22,12
S00132816,77,26,23,-,4,11,13
S00132817,49,24,9,-,3,9,4
S00132818,98,29,49,-,3,4,13
S00132819,84,31,44,-,-,7,2
S00132820,111,36,59,-,6,7,3
S00132821,43,17,16,-,2,5,3
S00132822,68,27,33,-,4,3,1
S00132823,114,39,68,2,2,3,-
S00132824,92,21,50,-,8,12,1
S00132825,97,34,52,-,5,1,5
S00132826,45,9,29,-,1,4,2
S00132827,78,24,50,-,3,1,-
S00132828,74,38,15,-,7,12,2
S00132829,95,50,35,-,2,6,2
S00132830,52,32,14,1,1,4,-
S00132831,105,37,59,5,2,1,1
S00132832,132,84,11,-,8,18,11
S00132833,93,42,23,-,7,12,9
S00132834,143,35,78,-,5,15,10
S00132835,86,51,15,-,7,11,2
S00132836,88,31,36,-,2,5,14
S00132837,63,30,16,-,1,3,13
S00132838,67,19,40,-,2,3,3
S00132839,186,55,112,-,9,5,5
S00132840,79,19,54,1,-,4,1
S00132841,78,27,36,-,4,5,6
S00132842,86,27,32,-,6,10,11
S00132843,53,4,16,-,2,8,23
S00132844,64,21,28,-,1,6,8
S00132845,134,44,64,-,5,9,12
S00132846,78,28,15,-,3,11,21
S00132847,193,75,70,-,13,17,18
S00132848,195,48,106,-,9,14,18
S00132849,115,30,63,-,3,5,14
S00132850,49,16,26,-,1,5,1
S00132851,147,30,88,-,1,7,21
S00132852,118,32,80,1,-,4,1
S00132853,113,22,84,-,1,-,6
S00132854,141,41,88,-,1,8,3
S00132855,96,35,34,-,7,14,6
S00132856,101,45,30,-,6,11,9
S00132857,89,13,65,2,2,5,2
S00132858,136,30,98,-,2,4,2
S00132859,137,22,98,1,6,5,5
S00132860,48,10,30,2,1,3,2
S00132861,87,15,58,-,3,6,5
S00132862,75,17,50,-,1,3,4
S00132863,150,63,13,-,10,17,47
S00132864,80,20,55,-,3,-,2
S00132865,102,28,66,-,1,6,1
S00132866,158,40,97,-,8,6,7
S00132867,140,31,99,-,2,5,3
S00132868,132,34,84,-,4,10,-
S00132869,97,23,66,-,4,4,-
S00132870,115,36,71,-,1,6,1
S00132871,123,17,87,-,4,6,9
S00132872,92,16,64,-,1,3,8
S00132873,112,21,74,-,7,5,5
S00132874,119,24,82,-,2,9,2
S00132875,140,20,97,-,11,9,3
S00132876,162,40,106,-,3,11,2
S00132877,72,22,42,-,1,5,2
S00132878,126,33,87,-,1,2,3
S00132879,103,37,41,-,8,11,6
S00132880,65,3,28,-,-,5,29
S00132881,134,36,87,-,6,4,1
S00132882,67,20,38,1,-,3,5
S00132883,72,23,41,-,2,3,3
S00132884,45,11,26,-,-,4,4
S00132885,78,39,33,-,1,3,2
S00132886,46,9,30,-,1,2,4
S00132887,76,21,38,-,4,11,2
S00132888,99,21,64,-,3,6,5
S00132889,55,24,18,-,2,7,4
S00132890,78,19,43,2,5,6,3
S00132891,82,23,33,2,2,15,7
S00132892,51,9,34,-,3,4,1
S00132893,53,17,26,-,1,7,2
S00132894,75,16,46,-,2,10,1
S00132895,96,18,65,2,4,3,4
S00132896,131,29,85,-,3,4,10
S00132897,115,30,68,-,5,6,6
S00132898,89,17,62,-,-,3,7
S00132899,65,20,33,-,2,5,5
S00132900,55,12,38,-,1,3,1
S00132901,92,24,57,-,1,6,4
S00132902,85,20,51,-,3,5,6
S00132903,107,64,33,-,1,6,3
S00132904,75,18,46,-,3,3,5
S00132905,44,10,25,-,3,2,4
S00132906,120,31,71,-,2,9,7
S00132907,100,16,62,-,3,9,10
S00132908,71,22,33,-,2,7,7
S00132909,108,21,70,-,2,7,8
S00132910,80,13,63,-,-,2,2
S00132911,86,18,52,2,1,4,9
S00132912,123,15,94,-,1,3,10
S00132913,62,15,42,-,1,4,-
S00132914,96,22,58,-,4,6,6
S00132915,154,46,77,4,4,16,7
S00132916,97,36,47,-,3,8,3
S00132917,105,34,60,-,-,9,2
S00132918,135,38,69,1,6,11,10
S00132919,109,19,71,-,3,10,6
S00132920,127,26,58,-,5,23,15
S00132921,77,20,47,-,1,5,4
S00132922,60,19,27,-,-,3,11
S00132923,50,14,28,-,4,4,-
S00132924,58,20,28,-,1,6,3
S00132925,99,30,39,-,5,11,14
S00132926,115,29,72,2,-,10,2
S00132927,51,4,40,-,1,1,5
S00132928,123,22,84,-,2,6,9
S00132929,129,35,79,-,5,8,2
S00132930,70,12,52,-,2,2,2
S00132931,104,33,58,-,2,6,5
S00132932,74,13,54,-,1,2,4
S00132933,154,36,97,-,5,8,8
S00132934,92,25,51,-,3,5,8
S00132935,69,24,39,-,-,1,5
S00132936,72,15,43,-,3,6,5
S00132937,79,14,50,-,3,7,5
S00132938,88,11,66,-,4,5,2
S00132939,52,11,34,-,1,1,5
S00132940,44,14,27,-,1,2,-
S00132941,79,17,51,-,1,1,9
S00132942,80,26,40,-,3,7,4
S00132943,73,13,44,2,3,7,4
S00132944,101,18,68,-,4,3,8
S00132945,121,17,82,-,4,4,14
S00132946,133,28,82,-,6,9,8
S00132947,94,30,56,-,2,3,3
S00132948,117,42,51,-,6,9,9
S00132949,72,13,56,-,-,2,1
S00132950,148,27,112,-,-,5,4
S00132951,94,18,63,-,-,5,8
S00132952,98,18,61,2,1,8,8
S00132953,80,20,38,-,2,8,12
S00132954,200,49,98,2,2,18,31
S00132955,109,33,62,-,2,6,6
S00132956,167,33,118,-,-,6,10
S00132957,114,17,84,-,-,1,12
S00132958,126,16,102,-,-,4,4
S00132959,91,14,56,-,2,5,14
S00132960,134,25,91,-,2,5,11
S00132961,102,17,75,-,2,1,7
S00132962,98,22,56,-,5,6,9
S00132963,105,26,60,-,3,7,9
S00132964,128,44,51,-,6,14,13
S00132965,117,49,38,-,9,11,10
S00132966,65,17,44,-,1,1,2
S00132967,57,18,24,-,2,8,5
S00132968,106,34,50,-,2,7,13
S00132969,101,46,30,-,6,13,6
S00132970,121,24,56,-,4,11,26
S00132971,78,36,27,-,3,9,3
S00132972,98,35,36,-,9,9,9
S00132973,155,51,73,-,5,12,14
S00132974,134,42,54,-,9,18,11
S00132975,120,42,51,-,4,18,5
S00132976,94,9,60,-,3,7,15
S00132977,80,11,46,-,5,9,9
S00132978,47,15,18,-,2,5,7
S00132979,88,22,46,-,1,7,12
S00132980,145,52,66,-,1,13,13
S00132981,100,33,40,-,2,15,10
S00132982,126,37,64,-,5,6,14
S00132983,107,33,52,1,2,10,9
S00132984,57,22,18,-,5,7,5
S00132985,106,26,66,-,2,9,3
S00132986,82,25,43,-,2,6,6
S00132987,71,11,40,-,2,3,15
S00132988,114,19,80,-,2,2,11
S00132989,122,36,72,-,5,4,5
S00132990,125,41,63,-,6,5,10
S00132991,76,27,31,-,3,7,8
S00132992,95,43,42,2,1,3,4
S00132993,94,36,35,-,3,12,8
S00132994,81,35,22,-,3,12,9
S00132995,123,48,47,-,7,8,13
S00132996,109,51,31,-,11,11,5
S00132997,86,31,31,-,5,11,8
S00132998,99,34,55,-,4,2,4
S00132999,88,36,38,-,3,6,5
S00133000,86,31,27,-,9,11,8
S00133001,113,44,47,-,3,14,5
S00133002,75,21,30,-,5,10,9
S00133003,128,47,54,2,5,9,11
S00133004,104,28,63,-,1,6,6
S00133005,121,37,72,-,3,6,3
S00133006,118,45,50,-,4,12,7
S00133007,149,51,84,-,5,9,-
S00133008,78,34,29,-,5,7,3
S00133009,69,18,34,-,3,4,10
S00133010,112,37,56,-,2,9,8
S00133011,86,38,26,-,4,7,11
S00133012,126,46,48,-,2,21,9
S00133013,155,41,95,-,4,9,6
S00133014,111,38,42,-,7,4,20
S00133015,82,26,30,2,5,6,13
S00133016,105,37,47,-,6,5,10
S00133017,210,60,84,-,9,13,44
S00133018,120,52,36,-,4,12,16
S00133019,153,47,90,-,2,8,6
S00133020,71,19,40,-,1,7,4
S00133021,57,16,22,-,4,4,11
S00133022,120,47,53,-,5,10,5
S00133023,89,18,60,-,1,4,6
S00133024,105,43,45,-,2,8,7
S00133025,99,39,42,-,3,8,7
S00133026,70,18,38,2,3,2,7
S00133027,86,26,35,-,2,8,15
S00133028,93,36,32,-,7,7,11
S00133029,70,22,28,-,4,10,6
S00133030,75,28,35,-,4,4,4
S00133031,112,43,44,-,2,12,11
S00133032,95,37,40,-,4,10,4
S00133033,136,34,96,-,-,3,3
S00133034,52,24,20,-,1,2,5
S00133035,75,17,36,-,3,13,6
S00133036,85,22,42,-,2,11,8
S00133037,95,33,37,-,3,10,12
S00133038,99,39,35,1,4,13,7
S00133039,103,46,43,-,1,8,5
S00133040,89,30,34,-,4,15,6
S00133041,85,25,48,-,2,6,4
S00133042,103,42,38,-,7,10,6
S00133043,154,58,63,-,10,16,7
S00133044,113,44,46,-,5,11,7
S00133045,51,16,26,-,3,4,2
S00133046,129,39,70,-,6,9,5
S00133047,150,28,103,-,2,8,9
S00133048,56,39,10,2,3,2,-
S00133049,91,32,46,-,1,8,4
S00133050,109,18,78,-,-,6,7
S00133051,132,33,83,-,4,4,8
S00133052,97,22,70,-,-,2,3
S00133053,97,20,63,2,1,3,8
S00133054,94,22,58,-,3,-,11
S00133055,95,14,65,-,5,2,9
S00133056,51,4,4,-,1,11,31
S00133057,110,30,42,-,3,10,25
S00133058,61,28,16,-,1,7,9
S00133059,64,19,28,-,6,4,7
S00133060,92,47,20,-,4,12,9
S00133061,70,44,14,-,4,6,2
S00133062,92,15,60,-,4,6,7
S00133063,102,49,21,-,8,13,11
S00133064,67,27,28,-,1,6,5
S00133065,112,19,71,-,1,10,11
S00133066,113,34,52,-,6,7,14
S00133067,113,19,90,-,-,1,3
S00133068,138,20,99,-,2,6,11
S00133069,108,15,81,-,1,3,8
S00133070,114,58,33,-,3,16,4
S00133071,117,14,96,-,-,2,5
S00133072,139,32,92,2,-,4,9
S00133073,78,33,32,-,2,6,5
S00133074,50,22,14,-,1,6,7
S00133075,83,35,35,-,2,7,4
S00133076,98,21,53,-,2,7,15
S00133077,86,14,53,-,-,5,14
S00133078,172,38,96,-,1,9,28
S00133079,129,33,75,-,1,15,5
S00133080,79,14,50,-,3,6,6
S00133081,118,37,71,-,2,4,4
S00133082,94,23,60,-,2,4,5
S00133083,89,35,36,-,3,9,6
S00133084,78,16,38,-,1,10,13
S00133085,80,34,34,2,2,6,2
S00133086,97,32,52,-,5,5,3
S00133087,83,25,35,-,-,12,11
S00133088,57,20,26,-,1,4,6
S00133089,86,18,50,-,-,8,10
S00133090,115,32,64,-,2,6,11
S00133091,92,32,45,-,1,2,12
S00133092,75,26,37,-,2,5,5
S00133093,111,40,56,-,4,7,4
S00133094,80,39,24,-,5,5,7
S00133095,86,26,37,-,2,11,10
S00133096,88,33,33,-,2,8,12
S00133097,75,15,46,-,3,6,5
S00133098,89,54,22,-,4,5,4
S00133099,96,70,14,-,2,8,2
S00133100,92,40,32,-,3,10,7
S00133101,122,47,62,-,1,9,3
S00133102,50,28,18,-,1,2,1
S00133103,68,21,34,-,2,4,7
S00133104,56,25,25,-,4,1,1
S00133105,65,36,10,-,6,10,3
S00133106,65,32,14,-,3,15,1
S00133107,133,61,48,-,2,8,14
S00133108,90,32,27,-,6,9,16
S00133109,75,25,35,-,1,5,9
S00133110,45,15,20,-,2,5,3
S00133111,56,15,28,-,1,6,6
S00133112,91,39,32,-,2,9,9
S00133113,61,20,26,-,2,10,3
S00133114,97,38,34,-,3,11,11
S00133115,141,53,59,-,2,14,13
S00133116,60,15,28,-,3,5,9
S00133117,67,34,20,-,4,9,-
S00133118,39,17,13,-,1,8,-
S00133119,49,16,14,-,2,10,7
S00133120,91,50,25,-,6,6,4
S00133121,82,34,22,-,2,9,15
S00133122,90,44,28,-,3,14,1
S00133123,90,14,66,-,1,2,7
S00133124,95,31,48,-,4,5,7
S00133125,60,27,17,-,-,7,9
S00133126,44,18,18,-,1,3,4
S00133127,83,26,41,-,2,6,8
S00133128,54,24,8,-,2,14,6
S00133129,92,20,61,-,1,2,8
S00133130,77,26,23,-,3,14,11
S00133131,72,51,17,-,-,3,1
S00133132,87,26,35,-,1,9,16
S00133133,47,21,12,-,3,6,5
S00133134,73,15,50,-,1,4,3
S00133135,85,20,51,-,4,7,3
S00133136,137,42,70,-,3,14,8
S00133137,101,30,52,-,3,6,10
S00133138,81,29,40,-,2,4,6
S00133139,75,23,30,-,2,9,11
S00133140,75,18,38,-,-,9,10
S00133141,67,25,26,-,1,7,8
S00133142,109,23,61,-,2,7,16
S00133143,76,17,50,-,2,2,5
S00133144,101,26,61,-,2,2,10
