oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S00089440,44,7,35,-,-,1,1
S00089441,69,36,18,-,-,10,5
S00089442,101,34,47,-,4,10,6
S00089443,58,31,18,-,1,3,5
S00089444,129,98,22,-,3,6,-
S00089445,137,108,19,-,2,7,1
S00089446,104,87,11,-,4,2,-
S00089447,84,58,24,-,-,1,1
S00089448,95,73,18,-,-,3,1
S00089449,135,94,28,-,2,6,5
S00089450,75,38,21,-,4,8,4
S00089451,80,34,19,-,1,10,16
S00089452,95,33,30,-,3,15,14
S00089453,107,83,9,-,4,11,-
S00089454,75,36,26,-,1,6,6
S00089455,85,34,18,2,3,14,14
S00089456,119,69,34,-,3,6,7
S00089457,84,73,7,-,1,1,2
S00089458,71,50,14,-,-,6,1
S00089459,59,37,18,-,1,2,1
S00089460,84,16,16,-,4,12,36
S00089461,103,69,14,-,4,9,7
S00089462,87,67,10,-,3,6,1
S00089463,121,95,10,-,2,12,2
S00089464,128,89,28,-,4,6,1
S00089465,81,66,10,-,2,2,1
S00089466,96,45,19,-,4,6,22
S00089467,76,53,14,-,1,8,-
S00089468,60,35,12,-,5,6,2
S00089469,97,69,21,-,2,4,1
S00089470,70,57,11,-,-,2,-
S00089471,65,32,24,-,4,5,-
S00089472,67,41,16,-,4,5,1
S00089473,90,64,12,-,2,10,2
S00089474,126,95,19,-,2,9,1
S00089475,64,44,14,-,2,3,1
S00089476,57,41,6,-,2,4,4
S00089477,101,75,16,-,1,7,2
S00089478,96,83,8,-,-,5,-
S00089479,68,45,18,-,2,2,1
S00089480,66,52,9,-,2,3,-
S00089481,120,107,11,-,-,2,-
S00089482,70,56,7,-,1,6,-
S00089483,84,65,14,-,1,3,1
S00089484,105,40,36,2,6,12,9
S00089485,66,44,18,-,1,3,-
S00089486,99,28,34,-,1,15,21
S00089487,75,27,16,-,2,14,16
S00089488,120,86,17,-,1,7,9
S00089489,128,106,12,-,5,3,2
S00089490,242,208,15,-,5,10,4
S00089491,108,90,15,-,2,-,1
S00089492,69,22,26,-,-,10,11
S00089493,71,32,23,-,2,8,6
S00089494,72,20,27,-,2,16,7
S00089495,62,23,22,-,-,9,8
S00089496,67,27,14,-,6,12,8
S00089497,200,147,35,-,6,8,4
S00089498,104,52,28,2,1,14,7
S00089499,52,22,13,-,3,10,4
S00089500,76,31,22,-,4,13,6
S00089501,121,68,30,1,6,14,2
S00089502,112,68,21,-,6,13,4
S00089503,62,4,13,-,2,14,29
S00089504,59,8,11,-,6,17,17
S00089505,64,8,31,-,3,8,14
S00089506,76,32,26,-,3,13,2
S00089507,77,30,19,-,5,15,8
S00089508,93,51,24,-,6,11,1
S00089509,46,33,10,-,-,2,1
S00089510,102,47,38,-,1,16,-
S00089511,70,32,27,-,4,6,1
S00089512,53,35,10,-,3,5,-
S00089513,107,51,31,4,7,8,6
S00089514,72,30,20,-,5,12,5
S00089515,244,191,42,1,2,4,4
S00089516,97,55,29,-,1,8,4
S00089517,69,37,10,-,-,11,11
S00089518,141,43,46,-,5,18,29
S00089519,106,21,70,-,1,5,9
S00089520,83,19,51,-,4,2,7
S00089521,117,22,65,-,2,10,18
S00089522,102,36,49,-,4,7,6
S00089523,87,36,32,-,4,5,10
S00089524,88,25,36,-,4,10,13
S00089525,67,23,26,-,2,11,5
S00089526,96,21,26,-,4,19,26
S00089527,105,21,36,-,3,12,33
S00089528,88,41,24,-,2,11,10
S00089529,105,35,50,-,5,7,8
S00089530,60,38,12,-,2,3,5
S00089531,72,33,21,-,3,11,4
S00089532,97,43,29,-,7,9,9
S00089533,66,25,25,-,1,10,5
S00089534,108,49,35,-,2,14,8
S00089535,70,24,33,-,-,7,6
S00089536,95,40,28,-,2,17,8
S00089537,67,30,22,-,-,9,6
S00089538,72,34,28,-,2,4,4
S00089539,62,26,19,-,3,10,4
S00089540,76,36,21,-,7,8,4
S00089541,78,25,27,-,1,15,10
S00089542,112,84,11,-,9,7,1
S00089543,71,42,10,1,6,7,5
S00089544,82,46,19,-,5,11,1
S00089545,62,11,14,-,3,9,25
S00089546,83,48,16,-,4,13,2
S00089547,117,51,52,-,2,9,3
S00089548,144,89,32,-,5,17,1
S00089549,88,49,20,-,3,11,5
S00089550,84,50,15,-,4,11,4
S00089551,76,34,16,-,1,18,7
S00089552,69,37,31,-,-,-,1
S00089553,98,42,24,2,2,6,22
S00089554,59,30,12,-,3,9,5
S00089555,127,48,57,-,5,14,3
S00089556,70,32,30,-,2,4,2
S00089557,129,85,24,-,3,15,2
S00089558,97,53,32,-,5,6,1
S00089559,121,50,50,-,7,7,7
S00089560,71,36,18,-,1,8,8
S00089561,84,47,20,-,5,6,6
S00089562,90,35,32,-,1,8,14
S00089563,69,38,18,2,1,6,4
S00089564,81,43,28,-,-,5,5
S00089565,123,62,35,-,2,15,9
S00089566,126,68,38,-,4,9,7
S00089567,124,48,47,-,8,20,1
S00089568,139,68,49,-,6,15,1
S00089569,102,27,30,-,7,23,15
S00089570,88,45,23,-,7,9,4
S00089571,128,65,44,-,5,8,6
S00089572,68,28,28,-,2,2,8
S00089573,91,40,36,-,4,5,6
S00089574,74,50,19,-,1,4,-
S00089575,66,16,39,-,2,3,6
S00089576,107,39,52,-,1,14,1
S00089577,69,46,8,-,3,10,2
S00089578,81,44,24,-,3,9,1
S00089579,65,39,18,-,-,6,2
