oa_zones,All people aged 16 and over: Total,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00089468,60,10,11,7,2,30
S00089469,97,7,19,32,11,28
S00089470,70,2,4,18,7,39
S00089471,65,8,8,10,10,29
S00089472,67,16,14,12,13,12
S00089473,90,11,10,13,12,44
S00089474,126,23,23,21,12,47
S00089475,64,8,13,10,9,24
S00089476,57,6,14,11,7,19
S00089477,101,8,25,30,11,27
S00089478,96,4,12,35,13,32
S00089479,68,4,4,16,9,35
S00089480,66,4,16,10,4,32
S00089481,120,0,4,43,13,60
S00089482,70,7,6,15,11,31
S00089483,84,4,7,28,9,36
S00089484,105,42,15,15,3,30
S00089485,66,1,13,13,8,31
S00089486,99,50,11,6,4,28
S00089487,75,30,13,11,4,17
S00089488,120,27,19,25,10,39
S00089489,128,1,19,36,13,59
S00089490,242,15,33,115,27,52
S00089491,108,3,9,38,12,46
S00089492,69,27,11,5,6,20
S00089493,71,18,15,16,5,17
S00089494,72,33,18,5,3,13
S00089495,62,16,16,7,4,19
S00089496,67,31,16,0,4,16
S00089497,200,9,29,66,21,75
S00089498,104,22,23,15,16,28
S00089499,52,16,10,7,10,9
S00089500,76,28,11,11,5,21
S00089501,121,31,35,13,17,25
S00089502,112,44,27,12,9,20
S00089503,62,52,0,1,0,9
S00089504,59,43,11,2,0,3
S00089505,64,51,9,1,2,1
S00089506,76,25,20,5,5,21
S00089507,77,21,17,12,7,20
S00089508,93,36,21,16,7,13
S00089509,46,6,15,5,6,14
S00089510,102,21,32,10,14,25
S00089511,70,28,11,10,5,16
S00089512,53,7,16,10,10,10
S00089513,107,34,25,11,8,29
S00089514,72,22,25,7,5,13
S00089515,244,14,23,67,25,115
S00089516,97,19,12,17,11,38
S00089517,69,21,9,9,4,26
S00089518,141,49,41,13,15,23
S00089519,106,19,27,16,8,36
S00089520,83,16,22,12,5,28
S00089521,117,41,35,10,8,23
S00089522,102,10,16,20,11,45
S00089523,87,22,21,24,6,14
S00089524,88,26,27,12,11,12
S00089525,67,19,24,6,8,10
S00089526,96,63,14,3,5,11
S00089527,105,57,24,10,2,12
S00089528,88,26,21,13,15,13
S00089529,105,42,29,7,8,19
S00089530,60,15,8,10,7,20
S00089531,72,14,17,14,6,21
S00089532,97,24,34,12,7,20
S00089533,66,20,12,6,9,19
S00089534,108,39,24,20,7,18
S00089535,70,26,15,6,3,20
S00089536,95,31,33,9,12,10
S00089537,67,21,19,12,5,10
S00089538,72,27,14,12,6,13
S00089539,62,16,19,5,6,16
S00089540,76,23,27,6,12,8
S00089541,78,26,22,8,8,14
S00089542,112,10,23,19,17,43
S00089543,71,23,17,13,5,13
S00089544,82,13,20,16,7,26
S00089545,62,51,6,0,1,4
S00089546,83,29,22,12,9,11
S00089547,117,33,24,12,18,30
S00089548,144,16,43,27,17,41
S00089549,88,33,28,8,5,14
S00089550,84,30,21,13,7,13
S00089551,76,35,16,8,7,10
S00089552,69,4,20,8,4,33
S00089553,98,47,12,13,3,23
S00089554,59,12,12,7,7,21
S00089555,127,35,25,25,12,30
S00089556,70,15,16,11,9,19
S00089557,129,25,36,18,7,43
S00089558,97,11,21,21,9,35
S00089559,121,28,33,10,13,37
S00089560,71,12,7,15,10,27
S00089561,84,23,19,14,6,22
S00089562,90,27,29,9,3,22
S00089563,69,19,9,19,7,15
S00089564,81,15,11,17,6,32
S00089565,123,20,25,27,9,42
S00089566,126,15,27,27,10,47
S00089567,124,24,35,19,22,24
S00089568,139,35,48,21,7,28
S00089569,102,52,11,8,8,23
S00089570,88,21,26,13,9,19
S00089571,128,18,28,25,11,46
S00089572,68,20,13,10,4,21
S00089573,91,18,18,22,10,23
S00089574,74,6,15,14,10,29
S00089575,66,18,9,7,6,26
S00089576,107,7,13,26,9,52
S00089577,69,15,11,17,17,9
S00089578,81,21,18,9,6,27
S00089579,65,15,25,10,3,12
S00089580,83,21,22,8,10,22
S00089581,64,17,17,5,4,21
S00089582,91,19,29,4,17,22
S00089583,118,35,38,7,8,30
S00089584,56,22,16,5,2,11
S00089585,103,23,26,13,12,29
S00089586,88,16,26,12,5,29
S00089587,62,18,17,9,5,13
S00089588,80,26,27,12,4,11
S00089589,78,26,15,4,10,23
S00089590,100,25,12,17,6,40
S00089591,99,34,28,5,13,19
S00089592,75,20,23,3,10,19
S00089593,93,36,35,9,4,9
S00089594,59,10,23,4,10,12
S00089595,121,40,43,17,8,13
S00089596,93,26,21,15,10,21
S00089597,84,26,27,8,6,17
S00089598,50,8,15,5,4,18
S00089599,101,17,24,13,15,32
S00089600,43,9,16,2,7,9
S00089601,62,14,13,10,8,17
S00089602,100,40,32,4,7,17
S00089603,82,28,18,10,7,19
S00089604,70,12,25,14,7,12
S00089605,119,32,39,13,15,20
S00089606,100,30,24,6,7,33
S00089607,104,6,29,22,3,44
S00089608,57,31,14,3,6,3
S00089609,77,11,22,8,11,25
S00089610,107,30,37,14,9,17
S00089611,77,35,17,6,9,10
S00089612,77,23,19,10,17,8
